Day,Location,Activity,Style
Weekday,Office,Dining,Formal
Weekend,Gym,Dining,Sporty
Weekday,Mall,Relaxing,Loungewear
Weekday,Mall,Relaxing,Casual
Weekday,Beach,Exercise,Beachwear
Weekend,Mall,Swimming,Beachwear
Weekend,Mall,Exercise,Sporty
Weekend,Park,Relaxing,Casual
Weekday,Gym,Dining,Sporty
Weekday,Beach,Meeting,Formal
Weekday,Office,Dining,Formal
Weekday,Beach,Swimming,Beachwear
Weekend,Park,Meeting,Formal
Weekend,Beach,Relaxing,Beachwear
Weekday,Gym,Meeting,Formal
Weekend,Mall,Relaxing,Loungewear
Weekday,Park,Relaxing,Casual
Weekend,Home,Meeting,Formal
Weekday,Home,Meeting,Formal
Weekend,Beach,Relaxing,Beachwear
Weekday,Mall,Dining,Casual
Weekend,Mall,Hiking,Outdoor
Weekend,Mall,Hiking,Outdoor
Weekday,Beach,Shopping,Beachwear
Weekend,Home,Dining,Loungewear
Weekend,Park,Shopping,Casual
Weekday,Mall,Hiking,Outdoor
Weekend,Mountains,Dining,Outdoor
Weekday,Mountains,Shopping,Outdoor
Weekday,Park,Exercise,Sporty
Weekend,Mall,Relaxing,Casual
Weekend,Office,Dining,Formal
Weekday,Mall,Dining,Casual
Weekend,Mountains,Swimming,Beachwear
Weekend,Beach,Dining,Beachwear
Weekday,Park,Exercise,Sporty
Weekday,Mountains,Relaxing,Outdoor
Weekday,Mall,Relaxing,Casual
Weekend,Office,Hiking,Formal
Weekday,Mountains,Relaxing,Outdoor
Weekday,Home,Swimming,Beachwear
Weekend,Gym,Exercise,Sporty
Weekend,Office,Exercise,Formal
Weekend,Beach,Hiking,Beachwear
Weekend,Mountains,Relaxing,Outdoor
Weekend,Mall,Swimming,Beachwear
Weekend,Home,Shopping,Loungewear
Weekend,Home,Swimming,Beachwear
Weekday,Beach,Hiking,Beachwear
Weekday,Park,Shopping,Casual
Weekend,Beach,Meeting,Formal
Weekday,Office,Hiking,Formal
Weekday,Mountains,Relaxing,Outdoor
Weekday,Home,Shopping,Loungewear
Weekday,Home,Hiking,Outdoor
Weekday,Mall,Hiking,Outdoor
Weekend,Office,Swimming,Formal
Weekend,Office,Dining,Formal
Weekday,Gym,Shopping,Sporty
Weekend,Office,Swimming,Formal
Weekday,Office,Swimming,Formal
Weekend,Park,Shopping,Casual
Weekend,Mountains,Swimming,Beachwear
Weekday,Home,Hiking,Outdoor
Weekday,Mall,Swimming,Beachwear
Weekday,Home,Shopping,Loungewear
Weekday,Office,Shopping,Formal
Weekend,Home,Hiking,Outdoor
Weekend,Mall,Hiking,Outdoor
Weekday,Gym,Exercise,Sporty
Weekday,Mall,Hiking,Outdoor
Weekend,Gym,Dining,Sporty
Weekend,Beach,Hiking,Beachwear
Weekend,Park,Swimming,Beachwear
Weekend,Park,Exercise,Sporty
Weekend,Beach,Shopping,Beachwear
Weekend,Office,Relaxing,Formal
Weekday,Mall,Dining,Casual
Weekend,Office,Meeting,Formal
Weekend,Gym,Exercise,Sporty
Weekday,Home,Shopping,Loungewear
Weekday,Park,Swimming,Beachwear
Weekend,Beach,Meeting,Formal
Weekend,Beach,Hiking,Beachwear
Weekday,Office,Swimming,Formal
Weekend,Beach,Exercise,Beachwear
Weekend,Mall,Shopping,Casual
Weekend,Park,Relaxing,Casual
Weekend,Home,Dining,Loungewear
Weekday,Gym,Hiking,Sporty
Weekday,Mountains,Relaxing,Outdoor
Weekday,Gym,Relaxing,Sporty
Weekday,Gym,Hiking,Sporty
Weekday,Park,Meeting,Formal
Weekday,Office,Swimming,Formal
Weekend,Mountains,Exercise,Sporty
Weekday,Park,Meeting,Formal
Weekday,Office,Exercise,Formal
Weekend,Home,Relaxing,Loungewear
Weekend,Gym,Swimming,Beachwear
